Country,Year,Life_Expectancy,Adult_Mortality,Infant_Mortality,Alcohol Consumption,Percentage_Expenditure,Hepatitis B,Measles,Under_Five_Deaths,Polio,Health_Expenditure,Diphtheria,HIV,GDP,population, thinness  10-19 years, thinness 5-9 years,Income composition of resources,Schooling
Burundi,2015,60.2172,296.1,46.3,3.99,38.46514511,94,93,67.86,94,6.29022646,94,0.36,289.3596272,10727148,7.3,7.2,0.406,4.3
Benin,2015,59.3771,246.3,63.29,1.53,21.84979057,74,67,97.87,72,2.67942166,74,0.45,1041.652523,10932783,6.9,6.8,0.481,5.42
Benin,2010,58.3627,256.7,69.65,1.35,24.17091942,76,68,109.1,77,2.99710202,76,0.68,1009.489495,9445710,7.8,7.6,0.451,4.57
Benin,2005,57.1252,283.7,76.61,1.24,23.26777649,70,61,121.6,73,2.93478227,70,1.1,805.9046853,8149419,8.7,8.6,0.43,3.85
Botswana,2015,63.8183,263.3,36.59,6.14,67.75788116,95,97,45.37,96,6.10287762,95,9.91,5869.737579,2305171,6.4,6.1,0.698,10.27
Central African Republic,2015,52.793,418.2,83.7,0.9,9.05484867,43,46,115.5,51,5.03434181,43,1.91,351.8797548,4819333,8.2,8.2,0.347,4.21
Cameroon,2015,59.658,355,57.09,4.55,10.12047958,78,74,88.12,77,3.59505081,78,1.85,1399.675336,23012646,5.6,5.5,0.514,7.05
Cameroon,2010,56.582,354.8,68.58,5.88,11.35888481,84,79,110.2,83,3.57742167,84,2.89,1383.813865,19878036,6.1,6.2,0.48,6.41
Cameroon,2005,54.3619,388.9,78.22,4.9,17.28415108,79,68,127.9,79,3.77274442,80,4.14,1129.357979,17275171,6.9,7,0.456,6.06
Algeria,2015,75.622,96.49,21.72,0.55,70.4593811,95,95,25.3,95,6.97849178,95,0.07,4197.419985,39543154,6,5.8,0.743,7.55
Algeria,2010,73.8081,104.4,23.89,0.35,69.48218536,95,95,27.81,95,5.11716986,95,0.03,4495.921476,35856344,5.9,5.8,0.714,7
Algeria,2005,72.0612,119.3,29,0.5,69.29087067,83,83,33.78,88,3.23516107,88,0.02,3131.32819,32956690,6.1,6,0.68,6.43
Gabon,2015,65.4599,228.2,35.32,8.06,58.90986633,80,68,50.4,79,2.65743947,80,1.39,7090.454634,2028517,6.1,5.9,0.694,9.53
Ghana,2015,63.1752,244.9,39.22,1.75,35.0822258,88,89,55.37,88,4.5429678,88,1.22,1711.271317,28870939,6.2,6.1,0.575,7.72
Ghana,2010,61.1571,269.5,47.4,1.6,56.07999802,94,93,69.84,94,4.22405624,94,1.43,1258.964197,25574719,7.1,7,0.547,7.66
Ghana,2005,59.7601,302.8,55.17,0.56,40.34791183,84,83,83.52,85,3.63137388,84,1.76,477.6010928,22496951,8.1,8.1,0.499,7.28
Kenya,2015,61.8922,231.7,33.08,1.65,40.38045883,89,96,45.86,83,4.76439571,89,1.9,1496.653573,46851488,7.8,7.6,0.55,6.28
Kenya,2010,60.649,285.3,38.51,1.52,28.96219444,90,86,56.07,90,5.38849831,90,3.09,1093.639624,41517895,8.2,8,0.523,6.47
Kenya,2005,57.344,437.7,47.4,0.88,26.39871979,76,69,75.99,70,3.12553811,76,4.18,522.7768402,35843010,8.6,8.5,0.474,6.48
Lesotho,2015,51.1014,498.3,63.21,3.07,59.29692841,83,93,82.49,85,8.95958614,83,18.93,1113.836835,2118521,5.5,5.3,0.495,6.44
Lesotho,2010,45.5955,477.8,67.04,2.75,56.44468689,93,88,93.03,92,8.35764122,93,22.85,1104.811547,2022747,7.2,7,0.464,6.08
Lesotho,2005,43.2325,637.1,72.3,1.94,48.25765228,87,83,116.5,88,5.44926691,89,27.19,850.7753155,1977424,9.3,9.2,0.437,7.21
Mali,2015,58.3632,277.5,70.15,0.62,22.35896111,71,66,115.6,67,4.11143351,71,0.67,723.5042049,18112907,7.7,7.5,0.438,2.78
Mali,2010,56.3817,282.8,78.4,0.6,14.29743481,72,78,134.1,77,4.67866755,73,0.87,688.3278659,15529181,8.8,8.5,0.396,2.14
Mali,2005,54.0029,302.4,88.74,0.55,26.89429283,83,73,157.8,78,5.19518089,77,1.2,473.9950468,13180551,9.9,9.7,0.338,1.81
Mauritania,2015,64.4847,204,37.25,0,38.62218857,73,70,48.94,67,3.67363763,73,0.25,1562.726836,3946220,7.8,7.5,0.513,5.1
Mauritius,2015,74.9754,147.8,12.88,2.83,41.67557907,97,99,14.6,98,5.69995832,97,1.16,9507.871337,1262879,6.9,6.8,0.779,9.9
Mauritius,2010,73.9987,162,12.55,3.15,44.14370346,99,99,14.62,99,4.57982159,99,1.63,8000.376432,1250400,7.2,7.2,0.74,9.44
Mauritius,2005,72.6748,163.8,13.38,3.83,48.18608093,97,98,15.63,97,3.56529307,97,1.75,5282.900111,1228254,7.7,7.6,0.704,8.16
Mauritius,2000,71.6366,171.8,16.61,4.58,53.52764893,88,84,18.85,88,2.89581966,88,1.97,3929.081782,1186873,8.1,8.1,0.667,7.07
Malawi,2015,61.3781,266.4,38.63,2.04,28.64990425,88,87,56.64,88,6.62879086,88,4.52,544.2768727,16938942,6.4,6.2,0.473,4.86
Malawi,2010,56.3806,366.3,52.02,1.69,22.00963974,93,93,83.02,86,5.14304781,93,7.11,688.1391912,14718422,6.8,6.7,0.43,5.01
Malawi,2005,52.0445,535.4,64.93,1.45,24.47987747,93,82,110.4,94,4.30046511,93,9.84,417.1022634,12755648,7.4,7.2,0.371,4.67
Namibia,2015,60.7002,295.8,33.27,2.63,42.20663452,92,85,46.25,92,9.98109627,92,8.11,4965.672765,2282704,8.2,8.1,0.637,6.64
Niger,2015,61.0827,257,61.27,0.12,20.7880249,84,85,120.2,83,5.34745932,84,0.1,481.1113011,20128124,9.6,9.4,0.351,2.44
Niger,2010,58.3668,269,65.85,0.11,26.44500732,70,67,133.3,75,4.96100473,70,0.14,471.612688,16647543,1.7,1.6,0.312,1.95
Rwanda,2015,65.2977,203.2,34.71,6.31,31.6441555,98,96,47.74,99,6.65446424,98,1.01,733.8874728,11642959,5.7,5.7,0.493,4.62
Senegal,2015,66.8794,188.9,35.54,0.19,24.62842751,89,80,51,85,4.37789631,89,0.11,1238.1264,14356181,9.5,9.3,0.491,3.73
Senegal,2010,64.6154,209.2,42.65,0.18,28.84069633,89,81,66.4,76,4.02764368,89,0.22,1286.604966,12530121,1.4,1.3,0.449,3.11
Senegal,2005,60.9152,244.2,53.18,0.34,43.40821075,84,74,91.68,84,3.67466521,84,0.73,1003.187193,10974057,11.4,11.3,0.415,1.67
Sierra Leone,2015,57.189,403.7,95.53,3.06,8.03731632,86,78,141,86,20.41341209,86,1.08,581.2934118,7314773,7.4,7.3,0.431,4.23
Sierra Leone,2010,53.6932,414.6,107.6,3.48,11.62602234,86,82,161.4,84,10.94337559,86,1.42,400.5407437,6436698,8.3,8.2,0.384,4.28
Togo,2015,59.3958,271,50.89,1.36,19.02897072,82,75,75.93,82,4.95647097,82,1.07,770.1433793,7473229,6.5,6.2,0.484,6.85
Togo,2010,57.3042,306.4,58.32,1.26,25.87260246,83,68,89.09,83,4.45493317,83,1.63,722.2294,6571855,7.3,7.2,0.449,6.09
Uganda,2015,61.0856,293,39.29,7.44,15.15355301,89,79,55.98,85,5.07657671,89,3.81,864.1800593,37477356,5.6,5.6,0.488,6.27
Uganda,2010,57.0547,364.3,49.67,8.55,16.1246891,80,73,76.4,79,6.80890226,80,5.34,824.7376711,32341728,6,6,0.473,5.87
Uganda,2005,52.9756,448.1,65.88,11.3,17.79239464,64,68,107.2,59,5.80518579,64,5.84,330.6028544,27946588,6.5,6.5,0.429,5.11
South Africa,2015,63.9499,304.6,29.4,7.2,57.07562637,85,86,37.34,85,8.05304241,85,11.79,6204.929901,55876504,4.4,5.3,0.665,10.15
South Africa,2010,58.8987,416.3,35.68,7.07,51.32851791,71,72,51.59,72,7.79358244,77,15.62,8059.562798,51784921,7.3,8.9,0.63,9.89
South Africa,2005,53.9797,473.6,50.11,7.17,40.00241852,79,64,79.24,75,6.86216164,81,18.39,5893.187076,49017147,11.6,13.9,0.609,8.86
South Africa,2000,58.4704,361.8,48.88,7.7,36.59454346,73,72,71.01,71,7.3366189,73,21.56,3241.661396,46813266,16.3,19.1,0.635,7.92
Zambia,2015,61.2078,294.6,47.22,3.5,47.1362648,90,90,68.22,90,4.43510246,90,8.32,1307.909649,16248230,6.3,6.1,0.576,7.9
Zambia,2010,56.7991,363.6,51.29,2.79,22.62166977,83,96,78.74,80,3.71929598,83,10.57,1469.36145,13792086,6.7,6.5,0.533,7.4
Zambia,2005,50.6591,556.3,62.39,2.41,26.68076324,82,85,106.7,84,6.86332178,82,13.13,720.4465047,11564870,7.1,7,0.467,6.59
Zimbabwe,2015,59.5911,345.5,42.11,3.84,20.81796074,87,86,60.47,88,7.44982719,87,6.5,1410.329173,14154937,5.6,5.5,0.507,8.03
Zimbabwe,2010,50.6523,500.4,52.88,3.38,26.28292847,90,90,86.11,89,10.47583866,89,10.48,937.84034,12839771,7.1,7,0.436,7.86
Argentina,2015,76.7602,112.7,10.33,8.49,66.71373749,94,89,11.59,93,10.22933674,94,0.25,13789.06042,43131966,1,0.9,0.826,9.59
Argentina,2010,75.7208,118.7,12.93,8.15,58.95255661,94,95,14.48,95,9.44546413,94,0.26,10385.96443,40788453,1,0.9,0.802,9.71
Argentina,2005,75.1388,124.9,14.82,7.6,51.41910553,88,98,16.59,95,7.61078882,98,0.27,5086.627761,39070501,1.1,1,0.78,9.57
Belize,2015,73.1866,181.6,13.18,6.71,68.06151581,94,96,15.32,94,5.891294,94,0.65,6098.60008,359871,3.5,3.4,0.706,10.56
Belize,2010,72.2716,182.2,16.22,6.47,66.5559845,96,98,18.94,96,5.63032866,96,0.62,5399.062096,322106,3.5,3.4,0.7,11.28
Belize,2005,69.3757,190.4,17.85,6.1,53.10926056,96,95,20.92,96,4.45325851,96,2.28,5236.365426,280375,3.6,3.5,0.695,10.77
Belize,2000,68.5645,198.4,20.03,4.7,46.94732666,76,96,23.61,91,3.94477701,91,2.05,4720.168218,240406,3.8,3.7,0.668,10.19
Brazil,2015,74.3325,144.5,14.25,6.63,43.25646591,96,96,15.95,98,8.90930176,96,0.38,8783.215424,205188205,2.7,2.6,0.754,7.66
Brazil,2010,73.1821,154.3,16.66,7.16,45.02125168,96,99,18.64,99,7.94516611,99,0.39,11249.29189,196353492,2.9,2.9,0.716,8.17
Brazil,2005,71.7533,162.2,22.04,6.76,41.63145828,98,98,24.8,99,8.03539562,99,0.39,4773.268551,186797334,3.2,3.1,0.694,7.67
Brazil,2000,69.7367,183.8,30.39,7.3,41.63555527,94,99,34.73,99,8.33457184,98,0.39,3726.811669,175873720,3.4,3.4,0.677,6.76
Barbados,2015,76.6502,100.9,13.04,9.68,47.23840714,97,96,14.07,97,6.7748456,97,0.48,17023.69436,278083,3.8,3.7,0.794,9.46
Barbados,2010,75.7115,107.8,13.82,8.66,53.45088959,86,85,15,90,6.77398682,86,0.64,16494.24304,274711,3.8,3.8,0.781,9.57
Barbados,2005,74.8901,113.9,14.4,7.84,57.19828796,92,93,15.74,91,6.76892185,92,0.89,14173.75138,269477,4,4,0.761,9.41
Chile,2015,79.746,88.14,6.8,7.89,48.01672745,97,96,7.96,96,8.30269146,96,0.35,13567.35722,17870124,0.8,0.8,0.845,10.49
Chile,2010,78.5015,93.63,7.42,7.55,47.10449982,92,93,8.7,92,6.77489376,92,0.31,12764.59312,17004162,0.8,0.9,0.815,10.35
Colombia,2015,76.2573,138.1,13.42,4.16,70.83104706,91,94,15.6,91,7.52338505,91,0.33,6228.651622,47119728,2.1,1.9,0.724,9.78
Colombia,2010,75.0327,145.6,15.76,4.22,72.22514343,88,88,18.38,88,7.07130098,88,0.36,6392.758026,44816108,2.2,2,0.695,9.35
Colombia,2005,73.0814,144.3,18.34,4.27,71.82036591,93,94,21.52,93,6.06709862,93,0.36,3448.538323,42220940,2.4,2.1,0.658,7.56
Colombia,2000,71.3201,171.4,21.18,4.52,74.53343964,78,88,25.07,82,5.63529348,79,0.44,2546.850214,39215135,2.6,2.3,0.65,7.12
Costa Rica,2015,79.0857,97.17,7.7,3.19,72.70618439,92,93,9.08,92,7.59196186,92,0.33,11529.95517,4895242,1.7,1.7,0.775,8.77
Costa Rica,2010,78.6704,106.5,9.14,3.74,72.31500244,89,83,10.5,93,8.02937698,88,0.29,8147.243985,4622252,1.8,1.8,0.749,8.43
Costa Rica,2005,78.5053,95.5,9.88,4.11,63.95664978,90,89,11.34,91,6.6642971,91,0.26,4643.45857,4315887,2,2,0.723,8.52
Costa Rica,2000,77.5857,99.88,11.13,4.24,64.92300415,89,82,13.11,80,6.56498671,88,0.22,3773.033793,3979193,2.4,2.3,0.702,7.96
Cuba,2015,77.772,94.34,4.51,4.65,90.33050537,99,99,5.65,99,12.81401348,99,0.31,7683.740254,11339894,3.5,3.3,0.773,11.12
Cuba,2010,77.661,97.35,5.07,4.28,90.77864838,96,99,6.36,99,10.6880827,96,0.27,5275.532601,11290417,3.4,3.2,0.784,11.06
Cuba,2005,77.0469,109.7,5.89,4.48,84.86508179,95,98,7.38,99,8.75525475,89,0.24,3791.873006,11246114,3.4,3.3,0.719,10.36
Cuba,2000,76.1831,121.1,7.02,3.93,83.69687653,98,94,8.81,98,6.58189821,95,0.21,2752.203783,11105791,3.6,3.4,0.679,9.88
Dominican Republic,2015,72.9531,163.1,28.86,5.39,50.14598465,81,90,35.09,87,4.72216797,85,0.64,6838.936746,10405832,3.3,3.2,0.718,8.48
Dominican Republic,2010,72.0933,179.7,28.97,5.54,51.10910797,83,85,35.24,85,4.92355442,88,0.88,5509.568034,9775755,3.3,3.3,0.697,8.12
Dominican Republic,2005,70.8752,212.5,29.88,5.75,31.99626732,87,79,36.49,86,4.35391188,87,1.24,3903.815207,9164768,3.5,3.4,0.668,7.54
Dominican Republic,2000,69.4232,212.4,32.46,6.72,35.02082062,68,85,40.05,71,4.88427496,78,1.73,2845.846553,8540791,3.8,3.7,0.651,7.03
Ecuador,2015,76.7893,117,13.22,3.69,57.56557465,78,84,15.37,84,7.49149466,78,0.27,6130.586676,16195902,1.2,1.1,0.739,8.54
Ecuador,2010,75.4301,134.1,16.25,3.97,46.34576416,90,95,18.98,88,6.11657906,91,0.27,4640.246344,14989585,1.3,1.2,0.703,8.02
Ecuador,2005,74.5144,148.8,19.95,3.9,30.08036232,92,93,23.52,89,5.59422064,92,0.29,3014.310009,13770012,1.4,1.3,0.688,7.7
Ecuador,2000,72.8394,159.6,24.73,4.01,28.85008049,36,99,29.63,83,3.33109665,87,0.39,1451.530885,12626507,1.6,1.5,0.668,7.41
Guatemala,2015,72.103,164.7,23.77,1.65,37.93196106,70,79,28.39,80,6.00602007,70,0.01,3994.629085,15567419,1.2,1.2,0.637,5.72
Guatemala,2010,70.8783,186.1,28.67,2.03,33.65649033,94,93,34.83,94,6.1247797,94,0.07,2852.557593,14259687,1.3,1.3,0.602,5.21
Guatemala,2005,69.1675,211.2,34.36,2.34,30.5962677,87,93,42.7,87,6.14826393,87,0.32,2068.488206,12948292,1.4,1.4,0.567,4.33
Guyana,2015,68.2015,263.9,27.38,5.48,58.58772659,95,99,33.11,92,4.02264786,95,0.91,5668.429765,755031,5.5,5.3,0.638,8.32
Guyana,2010,66.743,257.9,30.51,5.56,43.12285614,95,95,37.35,95,4.21897697,95,1.01,4589.872498,747932,5.6,5.3,0.618,9
Guyana,2005,65.132,266.6,33.42,5.84,46.93006134,93,92,41.39,93,3.79409742,93,1.38,1085.784887,759709,5.7,5.5,0.619,8.79
Honduras,2015,72.4871,146.5,17.52,2.49,39.39133835,98,98,20.52,98,7.4837904,98,0.1,2257.225284,9294505,2.1,2.1,0.623,7.04
Honduras,2010,71.0884,155.5,20.86,2.69,42.35993195,97,98,24.66,97,8.72536373,97,0.1,1874.271704,8450933,2.3,2.2,0.606,6.6
Honduras,2005,70.1041,164.4,25.05,3.02,38.92585754,97,96,30.04,98,7.50086403,98,0.24,1289.823114,7564613,2.5,2.4,0.577,6.24
Honduras,2000,68.6618,176.1,30.58,2.47,48.22546768,93,98,37.46,88,6.26817989,94,0.84,1079.605666,6656725,2.8,2.7,0.551,5.87
Haiti,2015,63.2372,244.6,52.97,2.78,11.05177689,64,69,70.13,65,5.07518148,64,1.1,1405.714786,10563757,3.9,3.9,0.49,5.5
Jamaica,2015,72.394,132.6,12.91,3.27,63.27166748,91,91,15,91,5.62470436,91,0.72,5077.550984,2794445,1.8,1.7,0.729,9.81
Jamaica,2010,72.6219,139.2,14.85,2.94,57.52955627,94,89,17.28,94,5.2951932,94,0.91,4835.791087,2733896,1.8,1.7,0.721,10.33
Jamaica,2005,71.0438,163.9,16.21,3.36,49.13597488,99,84,18.93,99,4.54581785,99,1.27,4200.388954,2676863,1.9,1.7,0.706,10.09
Mexico,2015,74.6822,128.4,13.94,4.24,52.20096588,76,97,16.21,87,5.72277403,87,0.27,10098.17318,120149897,1.5,1.5,0.758,9.65
Mexico,2010,74.1901,135.6,16.41,4.05,50.21874619,93,95,19.17,95,5.73688889,95,0.27,9823.164076,112532401,1.6,1.6,0.739,9.18
Mexico,2005,74.3765,133.6,19.46,5.03,42.23654556,98,96,22.89,98,5.83612156,98,0.27,8702.114481,105442402,1.8,1.7,0.719,8.9
Mexico,2000,73.5692,138.5,23.69,5.16,45.21740723,97,96,28.29,97,4.44912481,97,0.27,7581.845641,97873442,2,1.9,0.694,7.96
Nicaragua,2015,72.983,147.9,16.09,3.72,56.08240509,98,99,18.78,99,7.96303272,98,0.18,2025.321432,6298598,1.8,1.7,0.642,7.25
Nicaragua,2010,72.009,160.1,20.41,3.33,46.10338593,98,99,24.09,99,7.71019173,98,0.2,1495.733754,5855734,1.9,1.8,0.614,6.82
Nicaragua,2005,67.9359,179.1,25.26,3.65,40.2927475,86,96,30.31,87,6.22468948,86,0.23,1158.88129,5454678,2,1.9,0.592,6.28
Nicaragua,2000,67.2335,196.9,31.6,3.58,49.00289917,83,86,38.85,85,5.23883677,83,0.29,996.897852,5123222,2.2,2.1,0.562,5.7
Peru,2015,75.6206,125.5,12.85,5.68,60.87936783,90,92,16.55,88,4.98142099,90,0.23,6180.119268,30711863,1.1,1.1,0.737,9.61
Peru,2010,73.7106,132.2,15.49,5.23,51.89973831,93,94,19.94,92,4.71905422,93,0.25,5047.204643,29229572,1.1,1.1,0.708,9.28
Peru,2005,72.9858,143,20.53,4.65,54.98987579,94,77,26.45,66,4.66595268,77,0.33,2702.237701,28147267,1.3,1.3,0.692,9.88
Paraguay,2015,73.1905,145.8,18.89,5.21,47.17183685,92,78,22.19,93,6.69165802,92,0.21,5861.401895,6177950,2,1.9,0.692,8.4
Paraguay,2010,71.8872,151.7,21.89,6.27,38.98971558,91,93,25.96,89,5.46593952,91,0.25,4725.726341,5768613,2.1,2,0.664,7.99
Paraguay,2005,70.5269,163.5,24.97,5.51,32.83646393,92,91,29.94,96,4.82934713,96,0.28,1960.514766,5476878,2.3,2.2,0.646,8.03
El Salvador,2015,71.8143,179.5,13.26,2.54,54.90639496,94,97,15.41,94,8.75833225,94,0.31,3761.51368,6231066,1.6,1.5,0.678,7.67
El Salvador,2010,71.8478,192,16.54,2.3,49.10432816,89,92,19.33,89,8.90416241,89,0.39,3017.307395,6114034,1.7,1.6,0.662,8.06
El Salvador,2005,70.4403,206.4,21.14,2.68,46.17370224,89,99,25.02,89,9.20057869,89,0.56,2434.323531,6037817,1.9,1.8,0.644,8.08
El Salvador,2000,69.8647,218,27.39,2.65,50.27327728,99,97,33.14,98,7.84342813,99,0.75,1977.840614,5958482,2.1,2,0.607,7.04
Uruguay,2015,77.4827,114.2,7.67,6,68.40409851,95,96,8.91,95,8.29225731,95,0.43,16950.75317,3402818,1.5,1.4,0.794,8.65
Uruguay,2010,76.858,117.9,9.32,5.99,60.00210953,95,95,10.77,95,7.91117048,95,0.43,12512.59413,3352651,1.5,1.5,0.777,8.61
Uruguay,2005,76.1935,124.7,12.53,6.26,45.17630768,96,95,14.43,96,7.75686073,96,0.36,5233.457171,3317665,1.6,1.6,0.753,8.5
Uruguay,2000,75.0247,134.2,14.86,7.11,41.5463028,92,89,17.04,92,9.21095848,90,0.34,6932.478134,3292224,1.8,1.7,0.738,8.36
Afghanistan,2015,62.6587,233.2,53,0,5.1722393,64,62,70.17,67,10.10534763,64,0.06,566.8811327,33753499,17.2,17.3,0.479,4.81
Afghanistan,2010,60.8508,254.8,64.21,0.02,5.47462463,66,62,87.79,66,8.56967163,66,0.05,562.4992194,28189672,18.4,18.4,0.448,3.93
Bahrain,2015,79.4046,58.52,6.36,1.53,65.0187912,98,99,7.44,98,4.97671938,98,0.08,22795.44886,1362142,6.2,6.1,0.823,7.82
Libya,2010,72.3741,128,14.23,0,69.93810272,98,98,16.6,98,3.58541107,98,0.13,11611.3586,6491988,5.6,5.4,0.755,8.43
Libya,2005,71.5917,138.1,19.84,0.01,64.65328217,97,97,23.13,98,2.59774685,98,0.12,8108.052608,5837986,5.5,5.4,0.748,7.79
Libya,2000,70.6804,147.5,24.14,0.01,48.70888901,92,93,28.1,94,3.42542052,94,0.08,7424.353472,5154790,5.7,5.5,0.727,7.04
Morocco,2015,72.9197,70.15,20.25,0.39,38.83265686,99,99,23.6,99,5.57022429,99,0.05,3139.228271,34680458,6.4,6.2,0.645,6.15
Morocco,2010,70.8288,81.99,26.86,0.47,39.90460587,98,98,31.25,99,5.86408854,99,0.08,3067.851807,32464865,6.3,6.2,0.603,5.27
Morocco,2005,68.7039,116.4,35.44,0.46,25.20932388,96,97,41.51,98,4.73306799,98,0.09,2237.576172,30431902,6.5,6.3,0.569,4.63
Morocco,2000,66.7869,158.6,43.96,0.45,25.35758781,43,93,52.35,95,3.99666667,95,0.09,1492.377075,28554415,6.7,6.6,0.519,4.09
Qatar,2015,80.0639,62.81,6.64,1.03,86.62989044,99,99,7.76,99,3.6881299,99,0.12,66984.9102,2414573,5.2,4.9,0.855,8.46
Tunisia,2015,75.6919,92.85,14.76,1.5,53.9944458,98,98,17.17,98,6.24453449,98,0.06,3960.924849,11557779,6.5,6.4,0.723,8.63
Tunisia,2010,75.4206,99.43,15.76,1.26,55.75389099,98,97,18.39,98,5.60950756,98,0.07,4241.01191,10895063,6.3,6.3,0.71,8
Tunisia,2005,74.7642,104.5,18.8,1.25,50.8209343,97,96,22.07,98,5.14555788,98,0.05,3106.57663,10388344,6.4,6.3,0.683,7.21
Tunisia,2000,73.6901,111.5,24.99,1.2,52.6692276,94,95,29.96,97,4.81271935,97,0.01,2170.508671,9893316,6.6,6.5,0.646,6.32
Albania,2015,78.6441,92.24,8.52,4.33,42.12704086,99,97,9.58,99,6.48361206,99,0.05,3952.803574,2880703,1.2,1.3,0.762,9.99
Albania,2010,77.9359,103.5,11.87,4.88,38.12705994,99,99,13.29,99,6.23899555,99,0.06,4094.349686,2913021,1.4,1.5,0.725,10.44
Albania,2005,76.6208,105.7,17.84,4.98,45.69353485,98,97,19.98,97,5.83303022,98,0.05,2673.787816,3011487,1.8,1.8,0.685,10.24
Albania,2000,75.4043,106.1,24.08,3.92,46.5300827,96,95,27.18,97,5.94418573,97,0.02,1126.68334,3089027,2.1,2.2,0.656,9.93
Bulgaria,2015,74.6325,136.2,6.81,10.89,55.89729691,92,92,8.13,91,7.3912921,91,0.06,7078.860323,7177991,1.9,1.8,0.792,10.71
Bulgaria,2010,73.8348,143.4,9.07,9.82,55.24332809,95,97,10.83,94,7.09571743,94,0.05,6863.667068,7395599,2,2,0.77,11.07
Bulgaria,2005,72.5924,156.4,11.04,10.22,59.572052,96,96,13.28,97,6.89011478,96,0.04,3899.825963,7658972,2.2,2.3,0.745,10.61
Bulgaria,2000,71.6091,162.7,14.28,10.26,59.55728912,94,89,17.41,94,5.82970953,93,0.03,1621.262107,8170172,2.5,2.5,0.709,9.65
Cyprus,2015,80.9665,56.64,2.33,9.59,42.05354309,97,90,2.79,97,6.81669092,97,0.09,23408.44141,1187280,1,1,0.854,12.1
Cyprus,2010,79.665,65.01,2.93,11.33,45.74547958,96,87,3.46,99,6.51767111,99,0.09,31023.26758,1129686,0.9,1,0.853,11.76
Cyprus,2005,78.1008,75.01,3.96,11.41,41.47130966,88,86,4.6,98,5.43580961,98,0.07,24959.25977,1037062,0.9,1,0.826,10.19
Cyprus,2000,76.568,79.54,5.69,9.56,41.07523346,89,86,6.52,97,5.30800056,97,0.04,14388.34766,948237,0.9,1,0.798,10.82
Germany,2015,80.5742,71.19,3.31,11.06,76.95837402,87,97,3.93,92,11.18386841,93,0.07,41103.25644,81686611,1.1,1.1,0.924,12.86
Germany,2010,80.0864,77.52,3.47,11.58,75.68987274,88,97,4.18,94,11.09592915,96,0.07,41572.45595,81776930,1.1,1.1,0.907,12.58
